"County","apps","d_apps","r_apps","d_app_rejections","r_app_rejections","d_ballot_returned","d_percent_returned","r_percent_returned","fips"
"FULTON",108916,90573,11155,442,62,57435,0.637239129711198,0.340935725232128,"13121"
"DEKALB",81922,51187,7861,57,1,31850,0.62292196362214,0.435496183206107,"13089"
"COBB",60898,28225,19330,125,32,18360,0.653380782918149,0.306093895740491,"13067"
"GWINNETT",45987,23835,18993,41,9,16833,0.707447255610658,0.482458912768647,"13135"
"BIBB",22555,7626,4194,5,0,5775,0.757774570266369,0.710538865045303,"13021"
"CHATHAM",22243,14470,7036,4,1,10827,0.748444628784737,0.000284292821606254,"13051"
"CHEROKEE",16847,4252,12090,5,2,1,0.000235460324935248,0.420416942422237,"13057"
"HENRY",16665,10519,4336,1,49,8073,0.767541357672561,0,"13151"
"HALL",15065,3623,11045,0,0,2375,0.655534087772564,0.711000452693527,"13139"
"RICHMOND",13716,6896,4115,38,7,3410,0.497229512977544,0.269961051606621,"13245"
"FORSYTH",13121,3268,9428,0,0,544,0.166462668298654,0.292320746711922,"13117"
"PAULDING",12942,2548,10127,0,0,387,0.151883830455259,0.760936111385405,"13223"
"MUSCOGEE",10267,5722,4034,104,49,631,0.112317550729797,0.0095357590966123,"13215"
"HOUSTON",9667,3658,5715,105,66,0,0,0,"13153"
"NEWTON",9425,3947,1419,2,3,2467,0.625348542458809,0.0988700564971751,"13217"
"CLAYTON",9283,6677,2206,238,21,310,0.048144121758037,0,"13063"
"FLOYD",9244,1659,7441,1,0,0,0,0.811853245531515,"13115"
"CARROLL",8676,2431,5946,15,18,1861,0.770281456953642,0.771761133603239,"13045"
"GLYNN",8470,2903,5367,0,0,2035,0.70099896658629,0.716415129495062,"13127"
"FAYETTE",8217,3131,4794,59,31,0,0,0,"13113"
"WALTON",7763,1355,4625,1,1,736,0.54357459379616,0.488970588235294,"13297"
"COWETA",7605,2299,5058,39,30,0,0,0.165473349244232,"13077"
"COLUMBIA",7523,2227,4982,102,56,0,0,0.00771416971173366,"13073"
"ROCKDALE",7129,4777,2084,0,0,3408,0.713418463470798,0.322936660268714,"13247"
"CLARKE",6487,4005,2309,64,8,268,0.0680030449124588,0.0921338548457192,"13059"
"DOUGLAS",6486,3255,2939,41,9,663,0.206285003111388,0.000341296928327645,"13097"
"HABERSHAM",6079,730,5261,0,0,441,0.604109589041096,0.80631058734081,"13137"
"JACKSON",5649,1008,4545,0,0,629,0.624007936507937,0.72959295929593,"13157"
"LOWNDES",5487,2356,2963,36,27,60,0.0258620689655172,0,"13185"
"BULLOCH",5442,1095,3956,0,2,540,0.493150684931507,0.812089023773394,"13031"
"CATOOSA",5417,800,4503,0,0,0,0,0.805907172995781,"13047"
"BARTOW",5246,1328,3714,22,23,0,0,0,"13015"
"LAURENS",5076,1165,1855,1,0,872,0.74914089347079,0.61455525606469,"13175"
"TROUP",4844,1273,2419,15,11,776,0.616852146263911,0.5328073089701,"13285"
"WHITFIELD",4824,797,3933,0,0,0,0,0.734553775743707,"13313"
"DOUGHERTY",4677,2918,1629,31,7,0,0,0,"13095"
"WALKER",4624,873,3687,0,0,0,0,0.773528614049363,"13295"
"UNION",4471,906,3456,0,0,611,0.67439293598234,0.774016203703704,"13291"
"SPALDING",4247,1454,2668,24,9,0,0,0,"13255"
"FANNIN",4172,714,3371,0,0,448,0.627450980392157,0.788490062296055,"13111"
"GILMER",4114,737,3263,0,0,488,0.662143826322931,0.796506282562059,"13123"
"BARROW",3755,911,2797,8,14,0,0,0,"13013"
"LUMPKIN",3674,656,3000,0,0,438,0.667682926829268,0.781666666666667,"13187"
"CAMDEN",3642,1428,2101,0,0,1038,0.726890756302521,0.616373155640171,"13039"
"GORDON",3624,510,3090,0,0,0,0,0.736893203883495,"13129"
"WHITE",3553,538,2969,0,0,338,0.628252788104089,0.808016167059616,"13311"
